joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.095499,0.282624,-0.028923,-0.055191,-0.152614,0.005406,0.276624,0.121306,-0.091499,-0.296318,-0.059942,-0.000059,0.000069,0.597002,0.242524,0.000000,0.000006,0.205531,0.137915,-0.002825,-0.014930,0.000006,-0.000041,-0.000003,0.000003,-0.000002,0.000000,0.000008,-0.000012
0.260922,0.198681,-0.044108,-0.116968,-0.222306,0.034232,0.143708,-0.185845,-0.155041,-0.073458,0.062094,-0.000081,0.000179,0.490343,0.466782,-0.000002,0.000006,0.213569,0.371081,-0.003081,-0.021610,-0.000008,-0.000055,-0.000003,0.000001,0.000000,0.000000,0.000006,-0.000024
0.366868,0.113018,-0.076066,-0.177826,-0.282574,0.034467,0.128004,-0.338002,-0.197683,0.010832,0.134635,-0.000072,0.000226,0.372487,0.523859,-0.000003,0.000003,0.144721,0.447667,-0.005553,-0.027150,-0.000019,-0.000059,-0.000002,0.000000,0.000002,0.000001,-0.000001,-0.000031
0.445993,0.078750,-0.137397,-0.272301,-0.339744,0.001340,0.218443,-0.290970,-0.230541,-0.019213,0.213129,-0.000109,0.000237,0.266513,0.483908,-0.000003,0.000000,0.100222,0.494958,-0.013864,-0.025488,-0.000018,-0.000051,0.000000,0.000000,0.000000,0.000001,-0.000010,-0.000025
0.473064,0.063707,-0.113382,-0.395655,-0.427794,-0.043359,0.292041,-0.207125,-0.257348,-0.052603,0.297928,-0.000117,0.000188,0.123068,0.248818,0.000000,-0.000003,0.043890,0.438581,-0.020649,-0.012997,0.000000,-0.000040,0.000002,-0.000001,0.000001,0.000002,-0.000026,-0.000006
0.413831,0.040783,-0.096373,-0.548392,-0.419159,-0.072855,0.285969,0.042652,-0.222878,-0.031125,0.412906,-0.000048,0.000144,-0.039985,0.039567,0.000003,-0.000005,0.038647,0.207865,-0.016854,-0.011587,0.000009,-0.000039,0.000003,-0.000003,0.000001,0.000003,-0.000036,0.000013
0.390851,-0.029769,-0.167432,-0.637142,-0.370245,-0.125227,0.292620,0.277055,-0.151003,-0.000754,0.644603,-0.000142,0.000209,-0.177847,0.028675,0.000000,-0.000005,0.020217,-0.053066,-0.006970,-0.021416,0.000027,-0.000062,0.000003,-0.000003,-0.000001,0.000002,-0.000024,0.000024
0.473031,-0.173968,-0.248804,-0.623659,-0.323514,-0.172543,0.233634,0.320792,-0.085543,-0.012394,1.066424,-0.000341,0.000259,-0.385853,0.065953,-0.000002,-0.000005,0.003583,-0.245620,-0.000701,-0.028778,0.000051,-0.000081,0.000002,-0.000003,-0.000001,-0.000002,-0.000001,0.000024
0.546387,-0.571143,-0.332072,-0.569323,-0.196216,-0.142615,-0.043439,0.326756,0.024610,-0.053402,1.841243,-0.000531,0.000237,-0.616622,0.147237,-0.000002,-0.000003,0.035901,-0.199996,0.001294,-0.034369,0.000069,-0.000075,0.000000,-0.000004,-0.000002,-0.000002,0.000021,0.000016
0.649238,-0.994899,-0.394718,-0.471385,0.001537,-0.079925,-0.233891,0.301868,0.098883,-0.073508,2.517585,-0.000657,0.000226,-0.866555,0.199467,-0.000003,0.000000,0.022401,-0.100175,0.002184,-0.035300,0.000079,-0.000063,-0.000002,-0.000006,-0.000003,-0.000002,0.000039,0.000003
0.759747,-1.135133,-0.494408,-0.393594,0.224885,-0.033023,-0.163041,0.257851,0.076883,-0.115892,2.492004,-0.000690,0.000229,-0.994653,0.162207,-0.000003,0.000001,0.009505,-0.066273,-0.006060,-0.031812,0.000085,-0.000045,-0.000002,-0.000004,-0.000002,-0.000003,0.000044,-0.000009
0.772785,-1.272175,-0.560020,-0.421037,0.333217,0.019736,0.002566,0.151335,0.045441,-0.208024,2.090587,-0.000668,0.000219,-0.833759,0.130656,-0.000002,0.000000,0.005029,0.165133,-0.023278,-0.016156,0.000095,-0.000013,0.000000,-0.000005,-0.000002,-0.000001,0.000032,-0.000012
0.769464,-1.360198,-0.486526,-0.443045,0.290336,0.072838,0.135210,-0.058280,0.015753,-0.253723,1.464457,-0.000492,0.000174,-0.676696,-0.064456,-0.000002,0.000000,-0.007541,0.252841,-0.035274,0.007626,0.000083,0.000013,0.000000,-0.000006,-0.000003,0.000000,0.000009,-0.000006
0.728217,-1.301230,-0.429335,-0.429376,0.203066,0.117470,0.142774,-0.221759,0.005354,-0.232694,0.595858,-0.000293,0.000171,-0.538936,-0.217292,-0.000002,0.000000,0.007398,0.074234,-0.038214,0.015744,0.000054,0.000016,0.000000,-0.000004,-0.000003,0.000001,-0.000009,0.000000
0.730501,-1.190272,-0.421684,-0.360321,0.037722,0.127298,0.031756,-0.461285,-0.000823,-0.174117,-0.333325,-0.000246,0.000259,-0.376384,-0.008745,-0.000001,-0.000001,0.015165,-0.085368,-0.038583,0.011499,0.000036,0.000002,0.000000,-0.000002,-0.000003,0.000001,-0.000014,-0.000003
0.787240,-1.168327,-0.365267,-0.253177,-0.172867,0.079457,-0.226350,-0.737152,0.044038,-0.129563,-0.967642,-0.000276,0.000206,-0.245614,0.311817,-0.000003,-0.000001,0.052547,-0.297799,-0.032688,0.003158,0.000019,-0.000005,-0.000002,0.000003,-0.000003,0.000002,-0.000012,-0.000003
0.809376,-1.318137,-0.262129,-0.111766,-0.242524,0.089688,-0.468881,-0.825290,0.072123,-0.104642,-1.120135,-0.000206,0.000139,-0.183246,0.705975,-0.000006,0.000003,-0.029048,-0.405117,-0.022363,-0.003456,0.000005,0.000000,-0.000002,0.000006,-0.000002,0.000003,-0.000006,0.000005
0.933167,-1.192366,-0.165324,0.159545,-0.081001,0.171080,-0.447740,-0.812625,-0.095135,-0.036168,-1.327384,0.000057,0.000296,-0.248254,1.217509,-0.000009,0.000004,-0.290637,-0.431962,-0.017030,-0.005430,0.000011,0.000008,-0.000002,0.000006,0.000000,0.000003,0.000000,0.000015
0.954789,-0.863917,-0.122609,0.345486,0.144196,0.260351,-0.217900,-0.814009,-0.304329,-0.014951,-1.664345,0.000327,0.000480,-0.328310,1.661976,-0.000010,0.000003,-0.403016,-0.230754,-0.022895,-0.000473,0.000038,0.000017,-0.000002,0.000008,0.000000,0.000003,0.000000,0.000019
0.827648,-0.713240,-0.080188,0.276302,0.247186,0.318261,-0.109292,-0.792847,-0.394863,-0.052969,-1.857199,0.000474,0.000641,-0.246567,1.824157,-0.000012,0.000002,-0.475333,0.019437,-0.029533,0.013467,0.000063,0.000016,0.000000,0.000007,0.000000,0.000003,-0.000003,0.000021
0.814364,-0.625851,-0.066909,0.153484,0.279786,0.334464,-0.164591,-0.706754,-0.429030,-0.040804,-1.905185,0.000558,0.000726,-0.366088,1.662062,-0.000012,0.000003,-0.493417,-0.111540,-0.032058,0.023661,0.000057,0.000005,0.000000,0.000004,0.000000,0.000002,-0.000004,0.000024
0.842201,-0.615291,-0.132900,0.063055,0.268184,0.329482,-0.326522,-0.591782,-0.422315,-0.007149,-1.876671,0.000547,0.000731,-0.738017,1.327366,-0.000010,0.000003,-0.342015,-0.315864,-0.035695,0.025891,0.000039,-0.000009,0.000000,0.000002,0.000000,0.000000,-0.000004,0.000018
