joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.208588,0.338658,0.080630,0.196653,0.013342,0.013960,0.313826,0.107054,0.085160,0.071242,0.144056,-0.359997,-0.400006,-0.374920,-0.405516,0.240001,-0.239999,0.245354,0.054868,-0.146967,0.149816,0.350006,0.350002,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020000
-0.197384,0.343380,0.079623,0.192085,0.003827,0.015189,0.317548,0.094813,0.078863,0.071645,0.147662,-0.360000,-0.400000,-0.361541,-0.388733,0.240001,-0.239999,0.250475,0.068617,-0.147098,0.149097,0.350005,0.350000,-1.950001,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.184130,0.346192,0.075559,0.184798,-0.005496,0.016258,0.322359,0.084521,0.071981,0.071964,0.153031,-0.360002,-0.399991,-0.350087,-0.370592,0.240001,-0.239999,0.255002,0.084712,-0.147337,0.148006,0.350004,0.349998,-1.950001,1.950000,0.150000,0.150000,0.020001,-0.020002
-0.167651,0.348630,0.070463,0.173932,-0.018823,0.015279,0.332111,0.075415,0.063494,0.070364,0.161871,-0.360007,-0.399984,-0.343773,-0.356473,0.240001,-0.239999,0.257156,0.101615,-0.148022,0.147398,0.350004,0.349996,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020003
-0.152593,0.350440,0.068000,0.158421,-0.034016,0.013367,0.341829,0.070713,0.054825,0.068458,0.172893,-0.360010,-0.399979,-0.341883,-0.354005,0.240001,-0.239999,0.257928,0.113951,-0.148713,0.147139,0.350004,0.349995,-1.950000,1.950000,0.150000,0.150001,0.019999,-0.020002
-0.140062,0.351349,0.064039,0.137372,-0.046767,0.010422,0.351176,0.078258,0.048635,0.068289,0.189398,-0.360011,-0.399974,-0.346439,-0.353835,0.240001,-0.239999,0.259733,0.115472,-0.149145,0.146626,0.350005,0.349994,-1.950000,1.950000,0.150000,0.150001,0.019998,-0.020002
-0.126536,0.348455,0.056838,0.115945,-0.058699,0.005019,0.361337,0.089183,0.044758,0.068407,0.215867,-0.360019,-0.399965,-0.353739,-0.352093,0.240001,-0.239999,0.259276,0.110413,-0.149178,0.145711,0.350006,0.349991,-1.950000,1.950000,0.150000,0.150001,0.019997,-0.020001
-0.108527,0.339751,0.047452,0.095795,-0.068334,-0.001081,0.366751,0.099645,0.042932,0.067463,0.260493,-0.360033,-0.399957,-0.372163,-0.349438,0.240001,-0.239999,0.259971,0.099098,-0.149192,0.144707,0.350008,0.349988,-1.950000,1.950000,0.150000,0.150001,0.019998,-0.020000
-0.090110,0.310379,0.034700,0.077990,-0.071780,-0.004489,0.358441,0.110967,0.046399,0.064847,0.338616,-0.360054,-0.399949,-0.394847,-0.342277,0.240001,-0.239999,0.261669,0.097080,-0.149092,0.143420,0.350011,0.349986,-1.950000,1.950000,0.150000,0.150001,0.019999,-0.020000
-0.065244,0.273424,0.021137,0.064369,-0.068232,-0.006410,0.351159,0.119769,0.049524,0.062562,0.428332,-0.360077,-0.399942,-0.429933,-0.336140,0.240001,-0.239999,0.261465,0.092419,-0.149047,0.142354,0.350013,0.349984,-1.950000,1.949999,0.150000,0.150000,0.020000,-0.020000
-0.039460,0.234703,0.001740,0.051750,-0.056788,-0.006691,0.347571,0.128157,0.051524,0.057121,0.504750,-0.360100,-0.399934,-0.461158,-0.331463,0.240001,-0.239999,0.262303,0.092662,-0.149496,0.141299,0.350017,0.349983,-1.950000,1.949999,0.150000,0.150000,0.020002,-0.020000
-0.013725,0.188613,-0.016198,0.036300,-0.046017,-0.005094,0.351330,0.129858,0.052554,0.048694,0.567704,-0.360122,-0.399927,-0.485517,-0.327430,0.240001,-0.239999,0.261800,0.103428,-0.150598,0.141277,0.350020,0.349983,-1.950000,1.949999,0.150000,0.150000,0.020002,-0.020001
0.011837,0.144023,-0.030695,0.022214,-0.037432,-0.001835,0.356585,0.124271,0.052574,0.040206,0.602380,-0.360133,-0.399922,-0.506271,-0.335760,0.240000,-0.239999,0.261800,0.109518,-0.151847,0.141808,0.350022,0.349984,-1.950000,1.949999,0.150000,0.150000,0.020002,-0.020001
0.034823,0.101864,-0.044820,0.007675,-0.032480,0.002738,0.360848,0.115074,0.052911,0.033181,0.607428,-0.360141,-0.399916,-0.521446,-0.341916,0.240000,-0.239999,0.262293,0.108377,-0.153146,0.142326,0.350023,0.349984,-1.950000,1.949999,0.150000,0.150000,0.020002,-0.020001
0.060537,0.064672,-0.058808,-0.001808,-0.034917,0.006652,0.358702,0.093519,0.052520,0.028598,0.580159,-0.360150,-0.399905,-0.531363,-0.336343,0.240000,-0.239999,0.262811,0.103827,-0.154420,0.142574,0.350024,0.349984,-1.950000,1.949999,0.150000,0.150000,0.020001,-0.020001
0.087305,0.023976,-0.069171,-0.009204,-0.044004,0.008035,0.345758,0.065931,0.055847,0.024543,0.542919,-0.360159,-0.399902,-0.537820,-0.321128,0.240000,-0.239999,0.265796,0.088524,-0.155325,0.142537,0.350025,0.349984,-1.950000,1.949999,0.150000,0.150001,0.020001,-0.020001
0.114496,-0.023204,-0.076283,-0.009259,-0.051085,0.012631,0.327444,0.038500,0.057328,0.021622,0.505483,-0.360163,-0.399896,-0.543579,-0.289278,0.240000,-0.239999,0.260874,0.076819,-0.155911,0.142344,0.350025,0.349984,-1.950000,1.949999,0.150000,0.150001,0.020001,-0.020001
0.149517,-0.055515,-0.080193,0.001433,-0.049404,0.019440,0.315909,0.011756,0.049504,0.022132,0.454426,-0.360156,-0.399882,-0.554370,-0.239961,0.240000,-0.239999,0.246421,0.059726,-0.156461,0.142175,0.350025,0.349984,-1.950001,1.949999,0.150000,0.150001,0.020001,-0.020000
0.178148,-0.080798,-0.084457,0.013774,-0.041472,0.029988,0.312917,-0.015767,0.037039,0.020626,0.394527,-0.360142,-0.399864,-0.565467,-0.178480,0.239999,-0.239999,0.234007,0.061436,-0.157437,0.142312,0.350027,0.349985,-1.950001,1.950000,0.150000,0.150001,0.020001,-0.019999
0.204693,-0.103065,-0.085539,0.019853,-0.032925,0.040657,0.308623,-0.041101,0.023180,0.018601,0.330613,-0.360124,-0.399840,-0.570808,-0.118350,0.239999,-0.239999,0.214732,0.061022,-0.158430,0.143073,0.350030,0.349986,-1.950001,1.950000,0.150000,0.150001,0.020001,-0.019998
0.232439,-0.122522,-0.088918,0.024006,-0.022820,0.052286,0.301944,-0.062884,0.008437,0.017905,0.267514,-0.360104,-0.399815,-0.589873,-0.067676,0.239999,-0.239999,0.201112,0.054000,-0.159574,0.143890,0.350031,0.349985,-1.950001,1.950000,0.150000,0.150001,0.020001,-0.019998
0.260840,-0.144084,-0.094399,0.024057,-0.015046,0.062623,0.286854,-0.080553,-0.004974,0.018124,0.205502,-0.360088,-0.399791,-0.620009,-0.029859,0.239998,-0.239999,0.191931,0.039965,-0.160809,0.144799,0.350032,0.349985,-1.950001,1.950000,0.150000,0.150001,0.020000,-0.019997
0.291309,-0.163182,-0.102642,0.024000,-0.010457,0.068981,0.267779,-0.098439,-0.016630,0.019947,0.150227,-0.360079,-0.399777,-0.665723,-0.006598,0.239998,-0.239999,0.193172,0.024586,-0.161997,0.145599,0.350033,0.349986,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019997
0.319413,-0.184062,-0.111252,0.019216,-0.011017,0.069562,0.245211,-0.119535,-0.021806,0.021340,0.113743,-0.360082,-0.399777,-0.710367,0.000965,0.239998,-0.239999,0.201249,0.000155,-0.162568,0.146030,0.350033,0.349986,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019996
0.348500,-0.199928,-0.121471,0.022002,-0.013330,0.069337,0.235465,-0.138999,-0.028351,0.023080,0.090411,-0.360086,-0.399777,-0.759272,0.001969,0.239998,-0.239999,0.203947,-0.021697,-0.162797,0.146057,0.350033,0.349987,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019995
0.378451,-0.208987,-0.130317,0.032367,-0.015278,0.068092,0.233590,-0.159730,-0.035743,0.024443,0.085154,-0.360091,-0.399780,-0.795361,0.009260,0.239998,-0.240000,0.204072,-0.034766,-0.162646,0.145857,0.350034,0.349988,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019995
0.403604,-0.212335,-0.138249,0.042221,-0.015630,0.068935,0.236809,-0.174987,-0.041024,0.024080,0.095856,-0.360100,-0.399786,-0.814790,0.019407,0.239998,-0.240000,0.210716,-0.028268,-0.162563,0.145865,0.350036,0.349989,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019994
0.433563,-0.208740,-0.144251,0.052836,-0.016263,0.070232,0.238695,-0.179498,-0.044294,0.021295,0.108788,-0.360108,-0.399792,-0.805166,0.026569,0.239998,-0.240000,0.206217,-0.029637,-0.162066,0.145753,0.350037,0.349990,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019994
0.459921,-0.202700,-0.145310,0.060822,-0.019657,0.070084,0.234808,-0.173607,-0.042505,0.030336,0.125789,-0.360109,-0.399799,-0.775291,0.041407,0.239998,-0.240000,0.205942,-0.030434,-0.160885,0.145438,0.350036,0.349990,-1.950000,1.950000,0.150000,0.150001,0.020000,-0.019994
0.486678,-0.189159,-0.139148,0.068807,-0.019852,0.066872,0.225501,-0.156185,-0.039239,0.055137,0.135438,-0.360105,-0.399807,-0.728629,0.045274,0.239998,-0.240000,0.205042,-0.041767,-0.159355,0.145534,0.350035,0.349989,-1.950000,1.950000,0.150000,0.150001,0.020001,-0.019994
0.508174,-0.168108,-0.130950,0.081121,-0.019254,0.060297,0.222812,-0.134263,-0.032824,0.105399,0.141605,-0.360103,-0.399826,-0.684963,0.039793,0.239998,-0.240000,0.207796,-0.052474,-0.157897,0.145754,0.350032,0.349988,-1.950000,1.950000,0.150000,0.150001,0.020002,-0.019994
0.501950,-0.141636,-0.117508,0.087478,-0.019065,0.049453,0.225661,-0.106938,-0.019353,0.196288,0.144362,-0.360102,-0.399855,-0.645590,0.015907,0.239998,-0.240001,0.203591,-0.072057,-0.156327,0.146266,0.350028,0.349987,-1.950000,1.949999,0.150000,0.150001,0.020002,-0.019994
0.458260,-0.113591,-0.100078,0.084976,-0.019521,0.035584,0.237244,-0.073815,-0.001586,0.316288,0.144186,-0.360102,-0.399890,-0.632943,-0.026080,0.239998,-0.240001,0.193456,-0.091268,-0.154874,0.146920,0.350023,0.349987,-1.950001,1.949999,0.150000,0.150001,0.020002,-0.019994
0.388819,-0.081591,-0.075152,0.079648,-0.018323,0.023307,0.240780,-0.046516,0.016843,0.436288,0.144222,-0.360103,-0.399927,-0.630182,-0.068427,0.239999,-0.240001,0.184713,-0.100511,-0.153366,0.147646,0.350019,0.349988,-1.950001,1.949999,0.150000,0.150001,0.020003,-0.019995
0.302577,-0.043653,-0.048544,0.070171,-0.011701,0.015641,0.233820,-0.020020,0.033318,0.556288,0.141439,-0.360102,-0.399957,-0.641436,-0.107559,0.240000,-0.240000,0.182346,-0.100458,-0.152202,0.148204,0.350015,0.349988,-1.950001,1.950000,0.150000,0.150001,0.020002,-0.019996
0.215412,-0.003885,-0.025173,0.066648,-0.001142,0.013612,0.223708,0.007365,0.044282,0.676288,0.140094,-0.360097,-0.399977,-0.651842,-0.132823,0.240000,-0.240000,0.176549,-0.089501,-0.151407,0.148466,0.350011,0.349989,-1.950001,1.950000,0.150000,0.150000,0.020002,-0.019997
0.129540,0.037112,-0.002107,0.058357,0.009192,0.013866,0.203935,0.030962,0.053221,0.788874,0.138352,-0.360085,-0.399988,-0.656455,-0.144686,0.240000,-0.240000,0.179832,-0.081701,-0.150742,0.148641,0.350007,0.349990,-1.950001,1.950000,0.150000,0.150000,0.020002,-0.019999
0.067893,0.083057,0.018057,0.063866,0.025010,0.017043,0.179137,0.046386,0.053977,0.796949,0.136098,-0.360066,-0.399993,-0.656734,-0.156359,0.240000,-0.240000,0.188586,-0.073879,-0.150337,0.148818,0.350005,0.349992,-1.950001,1.950000,0.150000,0.150000,0.020003,-0.020000
0.027446,0.122943,0.028401,0.081864,0.038165,0.021906,0.161909,0.054344,0.052663,0.743545,0.135373,-0.360047,-0.399994,-0.651054,-0.165123,0.240000,-0.240000,0.200473,-0.057543,-0.150284,0.148722,0.350003,0.349995,-1.950000,1.950000,0.150000,0.150000,0.020002,-0.020001
-0.007961,0.157147,0.037184,0.101504,0.048050,0.026573,0.153648,0.060202,0.053628,0.656285,0.137382,-0.360028,-0.399997,-0.638119,-0.181643,0.240000,-0.240000,0.208573,-0.037709,-0.150165,0.148970,0.350001,0.349997,-1.950000,1.950000,0.150000,0.150000,0.020002,-0.020001
-0.045551,0.183683,0.042382,0.117654,0.054233,0.030909,0.164840,0.064622,0.056613,0.546954,0.141936,-0.360012,-0.399999,-0.622845,-0.205473,0.240000,-0.240000,0.213242,-0.012754,-0.150118,0.149442,0.350000,0.349999,-1.950000,1.950000,0.150000,0.150000,0.020001,-0.020001
-0.077935,0.209537,0.046973,0.135857,0.057922,0.035549,0.183952,0.070382,0.060014,0.426954,0.146792,-0.360000,-0.400000,-0.600143,-0.235461,0.240000,-0.240000,0.220395,0.012692,-0.150000,0.150000,0.350000,0.350000,-1.950000,1.950000,0.150000,0.150000,0.020000,-0.020000
-0.108144,0.235951,0.051023,0.149280,0.059861,0.038238,0.207162,0.083463,0.065476,0.311988,0.149481,-0.359993,-0.399991,-0.572675,-0.274825,0.240000,-0.240000,0.227398,0.027385,-0.149559,0.150272,0.349999,0.349998,-1.950000,1.950000,0.150000,0.150000,0.019999,-0.019999
-0.133974,0.262353,0.053830,0.163772,0.060943,0.037698,0.235146,0.104230,0.068763,0.219771,0.148776,-0.359989,-0.399986,-0.537305,-0.315697,0.240000,-0.240000,0.228393,0.032099,-0.149309,0.150583,0.349997,0.349997,-1.950000,1.950000,0.150000,0.150000,0.019999,-0.019998
-0.157990,0.289623,0.057088,0.170775,0.060606,0.035681,0.267392,0.123737,0.070990,0.157490,0.143477,-0.359991,-0.399983,-0.496107,-0.353658,0.240000,-0.240000,0.226771,0.020081,-0.149427,0.151024,0.349995,0.349996,-1.950000,1.950000,0.150000,0.150000,0.019998,-0.019998
-0.175621,0.314397,0.060728,0.177641,0.057839,0.032302,0.295602,0.140245,0.070922,0.103217,0.136223,-0.359994,-0.399982,-0.452663,-0.389447,0.240000,-0.240000,0.222499,0.007641,-0.149403,0.151096,0.349994,0.349996,-1.950000,1.950000,0.150000,0.150000,0.019999,-0.019998
-0.186992,0.331300,0.063120,0.179813,0.050552,0.030042,0.319248,0.145278,0.069623,0.063635,0.128536,-0.359999,-0.399978,-0.404199,-0.407668,0.240000,-0.239999,0.219130,0.009006,-0.149618,0.151066,0.349995,0.349996,-1.950001,1.950000,0.150000,0.150000,0.019999,-0.019999
-0.193420,0.344274,0.067205,0.180167,0.042756,0.029469,0.336444,0.142216,0.065215,0.043129,0.123578,-0.360005,-0.399976,-0.354171,-0.398646,0.240000,-0.239999,0.218646,0.026656,-0.149890,0.151102,0.349996,0.349997,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.019999
-0.195463,0.353160,0.068565,0.178833,0.036530,0.030017,0.348918,0.137939,0.059045,0.035568,0.120933,-0.360013,-0.399976,-0.314244,-0.383031,0.240000,-0.239999,0.221373,0.043672,-0.150492,0.151148,0.349998,0.349998,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020001
-0.191623,0.362294,0.068431,0.174268,0.029839,0.031106,0.356838,0.130959,0.050129,0.035177,0.122992,-0.360025,-0.399975,-0.289590,-0.359025,0.240000,-0.239999,0.228383,0.065394,-0.151248,0.151370,0.350001,0.350000,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020002
-0.183591,0.365457,0.067705,0.166297,0.021464,0.030164,0.355939,0.122924,0.043991,0.041029,0.133391,-0.360037,-0.399968,-0.277920,-0.342946,0.240000,-0.239999,0.238055,0.077758,-0.151545,0.151055,0.350003,0.349999,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020002
-0.176666,0.366129,0.065767,0.157365,0.012358,0.027666,0.355024,0.119459,0.037975,0.052323,0.145013,-0.360049,-0.399962,-0.278156,-0.330304,0.240000,-0.239999,0.247848,0.084403,-0.151911,0.150687,0.350005,0.349998,-1.950001,1.950000,0.150000,0.150000,0.020000,-0.020003
-0.171831,0.363904,0.063756,0.144217,0.000427,0.024575,0.358179,0.119740,0.034342,0.064830,0.163842,-0.360062,-0.399958,-0.285075,-0.332908,0.240000,-0.239999,0.252912,0.079175,-0.152353,0.150271,0.350006,0.349998,-1.950001,1.950000,0.150000,0.150000,0.019999,-0.020003
-0.169510,0.355892,0.060320,0.125493,-0.013796,0.020047,0.366761,0.127571,0.035268,0.080028,0.189790,-0.360070,-0.399957,-0.299277,-0.350229,0.240000,-0.239999,0.256846,0.066552,-0.152515,0.149365,0.350007,0.349997,-1.950001,1.950000,0.150000,0.150000,0.019999,-0.020003
-0.160565,0.344726,0.054968,0.105750,-0.027413,0.015602,0.376144,0.133102,0.038595,0.094605,0.229651,-0.360075,-0.399958,-0.318490,-0.358899,0.240000,-0.239999,0.259575,0.059779,-0.152592,0.148160,0.350007,0.349995,-1.950001,1.950000,0.150000,0.150000,0.019999,-0.020003
-0.144172,0.328001,0.047037,0.088196,-0.035916,0.011269,0.380586,0.138329,0.042101,0.104482,0.287181,-0.360079,-0.399963,-0.347020,-0.362443,0.239999,-0.239999,0.261680,0.053813,-0.152633,0.146779,0.350007,0.349994,-1.950001,1.950000,0.150000,0.150000,0.019998,-0.020002
-0.119268,0.299587,0.037090,0.074267,-0.039304,0.009130,0.378936,0.138036,0.047013,0.108829,0.366555,-0.360084,-0.399967,-0.383644,-0.364630,0.239999,-0.239999,0.262303,0.050896,-0.152682,0.145453,0.350007,0.349993,-1.950000,1.950000,0.150000,0.150000,0.019998,-0.020002
-0.091364,0.258733,0.024640,0.059769,-0.036756,0.008915,0.376251,0.130573,0.052476,0.104689,0.462201,-0.360094,-0.399964,-0.416405,-0.344787,0.239999,-0.239999,0.262007,0.064353,-0.152747,0.144494,0.350009,0.349992,-1.950000,1.949999,0.150000,0.150000,0.019998,-0.020002
-0.062115,0.207861,0.009346,0.047092,-0.031581,0.008827,0.374714,0.119164,0.059156,0.099062,0.551163,-0.360106,-0.399954,-0.442561,-0.324314,0.239999,-0.239999,0.262590,0.073883,-0.152927,0.143627,0.350011,0.349988,-1.950000,1.949999,0.150000,0.150000,0.019999,-0.020002
-0.034559,0.155845,-0.006743,0.035414,-0.024445,0.010765,0.377822,0.101373,0.063908,0.089397,0.614231,-0.360120,-0.399935,-0.461026,-0.297459,0.239999,-0.239999,0.262910,0.088138,-0.153449,0.143239,0.350013,0.349985,-1.950000,1.949999,0.150000,0.150000,0.019999,-0.020002
-0.008568,0.104584,-0.021269,0.022467,-0.020024,0.014047,0.384141,0.080196,0.066401,0.077779,0.648772,-0.360129,-0.399916,-0.473096,-0.281439,0.239999,-0.239999,0.259332,0.095968,-0.154316,0.143214,0.350015,0.349982,-1.950000,1.949999,0.149999,0.150000,0.020000,-0.020002
0.015797,0.054370,-0.036638,0.010227,-0.019645,0.018169,0.387307,0.054979,0.067047,0.066845,0.637190,-0.360139,-0.399896,-0.478590,-0.262111,0.239999,-0.239999,0.254090,0.096382,-0.155377,0.143090,0.350018,0.349981,-1.950001,1.949999,0.149999,0.150000,0.019999,-0.020002
0.044734,0.012589,-0.050939,0.002417,-0.024041,0.021998,0.384297,0.022241,0.064876,0.055416,0.588704,-0.360148,-0.399877,-0.476130,-0.227673,0.239999,-0.239999,0.247577,0.090271,-0.156561,0.142967,0.350020,0.349979,-1.950001,1.949999,0.149999,0.150000,0.019999,-0.020002
0.079866,-0.023013,-0.063434,-0.000031,-0.031920,0.024339,0.376552,-0.014597,0.060276,0.043775,0.520360,-0.360154,-0.399860,-0.467371,-0.181207,0.239999,-0.239999,0.234368,0.080374,-0.157753,0.142854,0.350022,0.349978,-1.950001,1.949999,0.149999,0.150000,0.019999,-0.020001
0.120288,-0.056144,-0.073899,0.003567,-0.043750,0.023287,0.360230,-0.052420,0.057588,0.033297,0.451044,-0.360166,-0.399851,-0.457896,-0.122930,0.239999,-0.239999,0.221604,0.072670,-0.158657,0.142762,0.350025,0.349979,-1.950001,1.949999,0.149999,0.150000,0.019999,-0.020000
0.158152,-0.093598,-0.083312,0.012207,-0.050382,0.027035,0.348014,-0.085572,0.053606,0.026008,0.396493,-0.360171,-0.399835,-0.447348,-0.044616,0.239999,-0.239999,0.204771,0.070991,-0.159633,0.142763,0.350026,0.349978,-1.950001,1.950000,0.149999,0.150000,0.019999,-0.019999
0.194580,-0.127206,-0.091047,0.023174,-0.052897,0.033194,0.345816,-0.110209,0.043595,0.023265,0.345158,-0.360165,-0.399820,-0.447563,0.030381,0.239999,-0.239999,0.183196,0.067115,-0.160782,0.142989,0.350028,0.349978,-1.950001,1.950000,0.149999,0.150001,0.019999,-0.019998
0.234156,-0.155055,-0.096131,0.031233,-0.047806,0.041302,0.341870,-0.132216,0.030031,0.021476,0.294204,-0.360150,-0.399805,-0.481940,0.082026,0.239998,-0.239999,0.162123,0.062148,-0.161602,0.143297,0.350029,0.349979,-1.950001,1.950000,0.149999,0.150001,0.019999,-0.019997
0.274306,-0.179522,-0.099521,0.034500,-0.036686,0.051176,0.333954,-0.149314,0.012668,0.021774,0.244978,-0.360127,-0.399792,-0.544753,0.100145,0.239998,-0.239999,0.147600,0.048986,-0.162382,0.143888,0.350028,0.349979,-1.950001,1.950000,0.149999,0.150001,0.019998,-0.019996
